id_mostra,ruta_imatges,lot,M_aire(g),M_aigua(g),ge,MS1,MS2,MS3,h2,Volum,densitat,canal_NIR_raw,ref_NIR,divisió,y_1_norm,y_2_norm,y1_y2_norm
66,p4_1.png,L4,116.17,9.4,1.088039712,21.91414872,21.90637913,22.47356207,17.7,77.08574176,1.507023184,57517,16507,3.484400557,0.5904,0.5629,1.048854148
67,p4_2.png,L4,114.48,9.7,1.092574919,22.87125888,22.86330788,23.46307719,17.6,66.07349293,1.732616136,42476,14513,2.926755323,0.6624,0.5012,1.321628093
68,p4_3.png,L4,106.83,10.5,1.109000311,26.33767372,26.32906571,27.04685475,17.5,55.06124411,1.940203163,47387,17514,2.70566404,0.6182,0.5431,1.138280243
69,p4_4.png,L4,114.21,8.8,1.08348354,20.95261438,20.94502704,21.47947297,18.2,132.1469859,0.8642648884,51232,17735,2.888751057,0.6153,0.4947,1.243784112
70,p4_5.png,L4,131.62,14.3,1.121888851,29.05767112,29.04854756,29.85894333,18.2,132.1469859,0.9960121234,38200,10555,3.619137849,0.6226,0.5906,1.054182188
71,p4_6.png,L4,158.73,12.6,1.086224595,21.53108643,21.52338945,22.0775304,18.4,154.1714835,1.029567832,52656,22761,2.313430869,0.6196,0.4948,1.25222312
72,p4_7.png,L4,200.28,13.5,1.072277546,18.58770126,18.58056216,19.03449078,18.7,187.20823,1.069824762,51114,14637,3.492109039,0.5873,0.5045,1.164122894
73,p4_8.png,L4,105.26,7.6,1.077821012,19.7575943,19.75023346,20.243993,17.9,99.1102394,1.0620497,43696,16444,2.657261007,0.6286,0.4927,1.275827075
74,p4_9.png,L4,184.84,13,1.075651769,19.29979735,19.29252328,19.77069637,18.5,165.1837323,1.118996389,45297,14498,3.124361981,0.62,0.4941,1.254806719
75,p4_10.png,L4,106.26,8.4,1.08583691,21.44926946,21.44158798,21.99294335,17.9,99.1102394,1.072139475,61180,17858,3.425915556,0.6072,0.5113,1.187561119
76,p4_11.png,L4,80.48,6.6,1.089334055,22.18730701,22.17948565,22.75596871,17.6,66.07349293,1.218037619,60296,31014,1.944154253,0.6217,0.5181,1.199961397
77,p4_12.png,L4,79.54,7.1,1.098012148,24.01873171,24.01056322,24.64940011,17.8,88.09799058,0.9028582772,42437,17595,2.411878375,0.5666,0.5043,1.123537577
78,p4_13.png,L4,230.00,15.6,1.072761194,18.68977039,18.68261194,19.14001567,19,220.2449764,1.044291696,54502,15451,3.527409229,0.6302,0.5445,1.157392103
79,p4_14.png,L4,84.19,7.1,1.092100143,22.77106211,22.76313011,23.35948805,17.7,77.08574176,1.092160471,47449,20446,2.320698425,0.5969,0.566,1.05459364
80,p4_15.png,L4,238.00,16.1,1.072555205,18.64629847,18.63914826,19.09507192,18.9,209.2327276,1.137489353,65393,28297,2.310951691,0.6014,0.518,1.161003861
81,p4_16.png,L4,127.29,12,1.10408535,25.30042026,25.29200885,25.9744829,18,110.1224882,1.155894696,52236,15765,3.313415794,0.6085,0.5881,1.034687978
82,p4_17.png,L4,98.00,15,1.180722892,41.47400704,41.46253012,42.69566024,18.8,198.2204788,0.4943989672,60285,15926,3.785319603,0.7463,0.4995,1.494094094
83,p4_18.png,L4,183.53,15.9,1.094851757,23.35176276,23.34372069,23.95984954,18.5,165.1837323,1.111065826,37314,9974.2,3.741051914,0.586,0.5575,1.051121076
84,p4_19.png,L4,220.00,12.3,1.059220029,15.8320429,15.8254261,16.18553385,18.9,209.2327276,1.051460747,55034,21299,2.583877177,0.5984,0.5419,1.104262779
85,p4_20.png,L4,111.62,9.4,1.091958521,22.74117424,22.7332479,23.32858826,17.8,88.09799058,1.266998251,58178,19241,3.02364742,0.6485,0.4989,1.299859691
86,p4_21.png,L4,113.12,8.7,1.083317372,20.91754622,20.90996552,21.44321751,18.1,121.134737,0.9338361791,52134,18160,2.870814978,0.5801,0.4948,1.172392886
87,p4_22.png,L4,100.81,7.5,1.080377237,20.29706013,20.28959704,20.80172357,18,110.1224882,0.9154351815,58690,17608,3.333144025,0.5457,0.5212,1.047006907
