id_mostra,ruta_imatges,canal_NIR,color_promig_R,color_promig_G,color_promig_B,desviacio_R,desviacio_G,desviacio_B
1,p1_1.png,2.1737442016601562,119.46829223632812,86.04988098144531,48.70789337158203,38.74522018432617,30.321311950683594,19.40714454650879
2,p1_2.png,2.228330373764038,112.70744323730469,83.91468048095703,44.7456169128418,43.46173095703125,34.15448760986328,20.50933837890625
3,p1_3.png,2.6409764289855957,89.3727798461914,68.27706909179688,38.547157287597656,30.402366638183594,24.96831703186035,17.570663452148438
4,p1_4.png,1.9536755084991455,120.85179138183594,88.72425079345703,48.76837921142578,37.240997314453125,29.458383560180664,18.74626922607422
5,p1_5.png,2.5939924716949463,103.08792114257812,75.05001068115234,41.3713493347168,33.66748809814453,26.59775733947754,16.59099769592285
6,p1_6.png,2.323622941970825,102.31083679199219,75.37519836425781,40.71042251586914,34.50385284423828,27.440092086791992,16.93950843811035
8,p1_8.png,3.2853639125823975,90.70964813232422,70.40705871582031,38.185516357421875,28.793365478515625,24.405086517333984,15.75819206237793
9,p1_9.png,2.563859701156616,114.75981903076172,83.05570220947266,45.80771255493164,33.89725112915039,26.038965225219727,16.136415481567383
10,p1_10.png,2.7725841999053955,108.4823226928711,82.57988739013672,46.307334899902344,38.812034606933594,32.014984130859375,21.336788177490234
11,p1_11.png,2.6876680850982666,105.18476104736328,76.53899383544922,42.64009094238281,36.613956451416016,28.387447357177734,17.44559669494629
12,p1_12.png,2.4863433837890625,112.71928405761719,81.12992095947266,43.616146087646484,34.06505584716797,26.49947166442871,16.51580810546875
13,p1_13.png,2.775474786758423,107.46902465820312,78.5387191772461,41.73260498046875,34.0228385925293,26.453611373901367,15.9949951171875
14,p1_14.png,1.7902597188949585,110.90599822998047,83.75967407226562,46.511131286621094,41.730316162109375,33.317710876464844,21.969573974609375
15,p1_15.png,2.5512912273406982,117.47969818115234,85.22097778320312,49.106651306152344,41.305355072021484,33.271209716796875,22.840023040771484
16,p1_16.png,2.529118537902832,112.10460662841797,89.02957916259766,49.08203887939453,39.31315994262695,33.58950424194336,23.09046745300293
17,p1_17.png,2.802983045578003,115.87982940673828,83.6138916015625,46.139305114746094,41.527626037597656,32.089351654052734,19.530118942260742
18,p1_18.png,1.8728246688842773,118.27437591552734,83.01203918457031,46.545291900634766,39.00884246826172,29.780488967895508,19.597719192504883
19,p1_19.png,3.0776987075805664,107.15777587890625,76.41243743896484,42.09814453125,27.410402297973633,21.643394470214844,14.2417631149292
20,p1_20.png,3.4779951572418213,108.7152099609375,78.2790756225586,44.95044708251953,33.618255615234375,26.006900787353516,17.616989135742188
21,p1_21.png,2.5216450691223145,116.75271606445312,82.9782943725586,44.71558380126953,42.47843933105469,33.78472900390625,21.67068862915039
22,p1_22.png,2.7006025314331055,110.78168487548828,80.49122619628906,45.20597457885742,36.1895637512207,29.02544403076172,18.854339599609375
23,p1_23.png,2.834014415740967,122.06413269042969,85.85741424560547,47.38182830810547,39.186500549316406,30.335739135742188,20.262428283691406
24,p1_24.png,2.7568187713623047,116.088134765625,83.3050765991211,45.779666900634766,36.44955062866211,28.2460880279541,18.156917572021484
25,p2_1.png,3.3782882690429688,109.101318359375,76.71078491210938,40.960838317871094,33.95222854614258,26.095844268798828,15.362547874450684
31,p2_7.png,3.3095717430114746,110.58155822753906,79.99534606933594,43.03216552734375,30.885095596313477,23.726627349853516,14.639633178710938
33,p2_9.png,3.9272751808166504,88.71804809570312,62.21454620361328,36.78385925292969,29.835336685180664,22.751842498779297,15.161139488220215
